time_period;obs_value
2025-12;98.7
2025-11;97.7
2025-10;96.5
2025-09;95.9
2025-08;96.2
2025-07;95.8
2025-06;96.0
2025-05;95.5
2025-04;97.1
2025-03;96.6
2025-02;95.9
2025-01;95.4
2024-12;95.0
2024-11;96.1
2024-10;97.0
2024-09;97.4
2024-08;96.6
2024-07;94.4
2024-06;99.6
2024-05;99.9
2024-04;99.8
2024-03;100.4
2024-02;99.0
2024-01;99.5
2023-12;98.9
2023-11;98.1
2023-10;98.8
2023-09;99.9
2023-08;100.2
2023-07;100.6
2023-06;100.8
2023-05;100.6
2023-04;103.5
2023-03;103.0
2023-02;103.6
2023-01;102.8
2022-12;103.4
2022-11;102.9
2022-10;103.0
2022-09;102.2
2022-08;104.2
2022-07;103.7
2022-06;104.9
2022-05;106.4
2022-04;107.1
2022-03;107.3
2022-02;114.1
2022-01;109.2
2021-12;110.8
2021-11;114.9
2021-10;114.4
2021-09;112.1
2021-08;111.1
2021-07;113.5
2021-06;115.3
2021-05;111.0
2021-04;97.3
2021-03;98.3
2021-02;91.1
2021-01;94.3
2020-12;93.3
2020-11;78.0
2020-10;90.5
2020-09;93.8
2020-08;94.5
2020-07;90.9
2020-06;84.5
2020-05;58.7
2020-04;45.7
2020-03;93.8
2020-02;106.1
2020-01;106.8
2019-12;106.7
2019-11;107.0
2019-10;107.0
2019-09;107.1
2019-08;106.3
2019-07;106.4
2019-06;107.2
2019-05;107.3
2019-04;107.6
2019-03;106.2
2019-02;104.9
2019-01;104.6
2018-12;104.1
2018-11;107.0
2018-10;106.7
2018-09;107.5
2018-08;107.9
2018-07;108.2
2018-06;109.2
2018-05;109.6
2018-04;111.3
2018-03;111.8
2018-02;111.8
2018-01;112.9
2017-12;113.5
2017-11;112.4
2017-10;111.1
2017-09;111.2
2017-08;110.8
2017-07;109.8
2017-06;108.9
2017-05;107.9
2017-04;107.5
2017-03;106.7
2017-02;107.4
2017-01;106.5
2016-12;106.1
2016-11;103.7
2016-10;103.7
2016-09;103.6
2016-08;103.5
2016-07;103.9
2016-06;103.1
2016-05;104.5
2016-04;102.4
2016-03;103.1
2016-02;103.2
2016-01;104.2
2015-12;101.7
2015-11;103.1
2015-10;103.1
2015-09;102.2
2015-08;103.0
2015-07;101.3
2015-06;100.8
2015-05;99.7
2015-04;98.6
2015-03;97.0
2015-02;95.8
2015-01;94.9
2014-12;94.0
2014-11;93.8
2014-10;91.9
2014-09;92.0
2014-08;93.0
2014-07;94.5
2014-06;95.1
2014-05;95.8
2014-04;96.3
2014-03;96.4
2014-02;95.3
2014-01;95.6
2013-12;94.2
2013-11;94.9
2013-10;95.4
2013-09;95.7
2013-08;91.8
2013-07;88.5
2013-06;86.7
2013-05;85.3
2013-04;84.2
2013-03;85.7
2013-02;87.8
2013-01;87.7
2012-12;88.3
2012-11;87.4
2012-10;85.9
2012-09;87.9
2012-08;89.4
2012-07;90.7
2012-06;91.5
2012-05;92.8
2012-04;97.2
2012-03;95.4
2012-02;92.7
2012-01;92.8
2011-12;94.3
2011-11;95.4
2011-10;97.6
2011-09;98.6
2011-08;101.3
2011-07;106.4
2011-06;108.0
2011-05;108.3
2011-04;109.0
2011-03;109.9
2011-02;109.3
2011-01;108.1
2010-12;107.2
2010-11;105.6
2010-10;104.8
2010-09;102.9
2010-08;100.8
2010-07;98.6
2010-06;96.8
2010-05;97.3
2010-04;96.1
2010-03;92.1
2010-02;92.9
2010-01;92.3
2009-12;90.7
2009-11;90.6
2009-10;88.8
2009-09;85.9
2009-08;82.9
2009-07;79.7
2009-06;77.6
2009-05;74.0
2009-04;70.8
2009-03;69.1
2009-02;72.7
2009-01;74.5
2008-12;76.2
2008-11;79.1
2008-10;82.7
2008-09;92.4
2008-08;94.7
2008-07;96.1
2008-06;99.8
2008-05;103.3
2008-04;105.9
2008-03;108.3
2008-02;108.5
2008-01;109.6
2007-12;110.2
2007-11;110.3
2007-10;110.1
2007-09;111.4
2007-08;112.1
2007-07;113.2
2007-06;114.0
2007-05;113.0
2007-04;112.7
2007-03;112.1
2007-02;111.7
2007-01;109.9
2006-12;109.9
2006-11;111.5
2006-10;109.7
2006-09;109.7
2006-08;109.1
2006-07;108.5
2006-06;106.4
2006-05;106.9
2006-04;105.1
2006-03;104.5
2006-02;104.0
2006-01;106.5
2005-12;105.0
2005-11;103.2
2005-10;103.9
2005-09;100.8
2005-08;101.6
2005-07;101.8
2005-06;102.0
2005-05;100.9
2005-04;103.6
2005-03;104.5
2005-02;104.4
2005-01;103.9
2004-12;104.9
2004-11;103.5
2004-10;105.4
2004-09;104.7
2004-08;104.8
2004-07;104.5
2004-06;102.9
2004-05;103.5
2004-04;102.9
2004-03;102.5
2004-02;102.6
2004-01;104.0
2003-12;99.8
2003-11;98.6
2003-10;95.4
2003-09;95.2
2003-08;95.6
2003-07;94.6
2003-06;92.5
2003-05;92.1
2003-04;86.5
