time_period;obs_value
2025-12;94.5
2025-11;96.4
2025-10;94.7
2025-09;93.4
2025-08;94.8
2025-07;95.9
2025-06;98.3
2025-05;93.6
2025-04;97.8
2025-03;96.4
2025-02;93.5
2025-01;97.0
2024-12;96.5
2024-11;98.4
2024-10;97.4
2024-09;98.6
2024-08;98.4
2024-07;97.2
2024-06;100.1
2024-05;101.7
2024-04;102.2
2024-03;100.9
2024-02;103.0
2024-01;99.6
2023-12;101.0
2023-11;99.9
2023-10;103.0
2023-09;104.1
2023-08;102.2
2023-07;106.4
2023-06;106.6
2023-05;107.0
2023-04;110.4
2023-03;109.7
2023-02;110.2
2023-01;111.4
2022-12;110.1
2022-11;108.9
2022-10;109.5
2022-09;108.4
2022-08;109.4
2022-07;111.2
2022-06;109.2
2022-05;111.1
2022-04;112.5
2022-03;113.7
2022-02;114.4
2022-01;110.8
2021-12;110.4
2021-11;113.2
2021-10;112.6
2021-09;106.5
2021-08;108.2
2021-07;108.2
2021-06;106.6
2021-05;101.2
2021-04;92.0
2021-03;90.8
2021-02;83.9
2021-01;87.1
2020-12;83.7
2020-11;81.4
2020-10;89.4
2020-09;91.6
2020-08;88.8
2020-07;79.0
2020-06;68.4
2020-05;50.7
2020-04;42.0
2020-03;97.6
2020-02;105.8
2020-01;106.0
2019-12;107.5
2019-11;107.5
2019-10;107.2
2019-09;107.1
2019-08;108.0
2019-07;107.3
2019-06;108.2
2019-05;106.3
2019-04;108.8
2019-03;108.5
2019-02;108.2
2019-01;106.5
2018-12;105.3
2018-11;104.9
2018-10;107.5
2018-09;107.1
2018-08;108.4
2018-07;108.5
2018-06;109.8
2018-05;110.8
2018-04;110.2
2018-03;110.8
2018-02;109.5
2018-01;109.5
2017-12;108.6
2017-11;107.2
2017-10;108.1
2017-09;106.5
2017-08;106.0
2017-07;106.6
2017-06;107.4
2017-05;107.7
2017-04;107.2
2017-03;107.6
2017-02;104.4
2017-01;105.7
2016-12;106.4
2016-11;105.4
2016-10;104.8
2016-09;105.1
2016-08;102.4
2016-07;104.7
2016-06;101.0
2016-05;101.6
2016-04;99.6
2016-03;99.2
2016-02;100.4
2016-01;101.3
2015-12;100.5
2015-11;101.3
2015-10;99.5
2015-09;99.6
2015-08;100.1
2015-07;99.1
2015-06;98.7
2015-05;96.7
2015-04;96.6
2015-03;94.6
2015-02;95.1
2015-01;93.1
2014-12;94.1
2014-11;93.6
2014-10;93.6
2014-09;93.7
2014-08;93.5
2014-07;94.6
2014-06;94.6
2014-05;96.2
2014-04;96.9
2014-03;95.0
2014-02;93.6
2014-01;94.1
2013-12;93.7
2013-11;92.8
2013-10;93.6
2013-09;91.1
2013-08;90.4
2013-07;89.5
2013-06;88.5
2013-05;85.1
2013-04;86.4
2013-03;88.2
2013-02;88.9
2013-01;91.8
2012-12;89.3
2012-11;89.6
2012-10;91.3
2012-09;91.3
2012-08;93.0
2012-07;92.2
2012-06;93.4
2012-05;94.6
2012-04;97.7
2012-03;98.3
2012-02;97.4
2012-01;97.6
2011-12;98.4
2011-11;100.4
2011-10;99.6
2011-09;103.6
2011-08;105.2
2011-07;109.7
2011-06;111.1
2011-05;111.2
2011-04;109.0
2011-03;109.0
2011-02;110.5
2011-01;102.8
2010-12;105.5
2010-11;104.2
2010-10;102.7
2010-09;99.7
2010-08;98.2
2010-07;97.5
2010-06;97.5
2010-05;96.5
2010-04;95.1
2010-03;93.0
2010-02;90.6
2010-01;90.0
2009-12;88.5
2009-11;86.7
2009-10;84.4
2009-09;82.9
2009-08;84.1
2009-07;79.2
2009-06;75.1
2009-05;74.1
2009-04;74.6
2009-03;74.5
2009-02;79.0
2009-01;80.9
2008-12;84.0
2008-11;88.5
2008-10;95.7
2008-09;100.2
2008-08;101.3
2008-07;106.7
2008-06;104.6
2008-05;108.7
2008-04;113.1
2008-03;112.9
2008-02;114.4
2008-01;114.6
2007-12;114.7
2007-11;113.8
2007-10;112.4
2007-09;114.1
2007-08;113.5
2007-07;111.7
2007-06;113.6
2007-05;114.6
2007-04;111.9
2007-03;111.5
2007-02;112.2
2007-01;109.8
2006-12;112.0
2006-11;111.2
2006-10;109.8
2006-09;108.7
2006-08;109.9
2006-07;110.5
2006-06;111.4
2006-05;108.9
2006-04;108.3
2006-03;105.8
2006-02;105.1
2006-01;105.0
2005-12;103.4
2005-11;104.1
2005-10;104.1
2005-09;104.1
2005-08;104.0
2005-07;103.6
2005-06;103.0
2005-05;103.8
2005-04;103.4
2005-03;105.8
2005-02;103.2
2005-01;103.2
2004-12;102.9
2004-11;103.7
2004-10;103.3
2004-09;101.7
2004-08;102.3
2004-07;102.6
2004-06;101.5
2004-05;105.1
2004-04;101.9
2004-03;102.0
2004-02;97.3
2004-01;99.0
2003-12;98.4
2003-11;94.9
2003-10;95.7
2003-09;95.5
2003-08;95.2
2003-07;94.4
2003-06;93.3
2003-05;89.7
2003-04;90.7
2003-03;92.1
