time_period;obs_value
2025-12;0.1
2025-11;-0.3
2025-10;-0.5
2025-09;-0.5
2025-08;-0.5
2025-07;-0.8
2025-06;-0.2
2025-05;-0.1
2025-04;-0.3
2025-03;-0.6
2025-02;-0.6
2025-01;-0.7
2024-12;-0.9
2024-11;-0.7
2024-10;-0.9
2024-09;-0.8
2024-08;0.7
2024-07;-1.0
2024-06;-0.03
2024-05;0.4
2024-04;-0.8
2024-03;-0.08
2024-02;-0.5
2024-01;-0.3
2023-12;-0.7
2023-11;-0.8
2023-10;-0.9
2023-09;-0.6
2023-08;0.04
2023-07;-0.1
2023-06;-0.01
2023-05;-0.5
2023-04;0.1
2023-03;0.07
2023-02;0.1
2023-01;0.1
2022-12;-0.05
2022-11;-0.4
2022-10;0.8
2022-09;-0.2
2022-08;-0.2
2022-07;-0.6
2022-06;-0.2
2022-05;-0.3
2022-04;-0.4
2022-03;-0.8
2022-02;1.0
2022-01;0.8
2021-12;0.9
2021-11;1.0
2021-10;0.9
2021-09;0.9
2021-08;0.9
2021-07;1.0
2021-06;1.0
2021-05;1.0
2021-04;0.9
2021-03;1.0
2021-02;0.6
2021-01;0.6
2020-12;0.5
2020-11;0.05
2020-10;0.6
2020-09;0.9
2020-08;1.0
2020-07;0.9
2020-06;-0.2
2020-05;-0.8
2020-04;-1.0
2020-03;-0.2
2020-02;0.9
2020-01;0.9
2019-12;0.9
2019-11;0.9
2019-10;0.9
2019-09;1.0
2019-08;1.0
2019-07;0.8
2019-06;0.9
2019-05;1.0
2019-04;0.9
2019-03;1.0
2019-02;1.0
2019-01;1.0
2018-12;0.9
2018-11;1.0
2018-10;0.8
2018-09;0.8
2018-08;0.8
2018-07;0.9
2018-06;1.0
2018-05;0.9
2018-04;1.0
2018-03;0.9
2018-02;0.8
2018-01;1.0
2017-12;1.0
2017-11;1.0
2017-10;1.0
2017-09;1.0
2017-08;1.0
2017-07;1.0
2017-06;0.9
2017-05;0.8
2017-04;0.8
2017-03;0.8
2017-02;1.0
2017-01;0.7
2016-12;0.9
2016-11;0.9
2016-10;0.9
2016-09;0.8
2016-08;0.6
2016-07;0.8
2016-06;0.4
2016-05;0.7
2016-04;0.4
2016-03;0.4
2016-02;0.3
2016-01;0.8
2015-12;0.4
2015-11;0.3
2015-10;0.7
2015-09;0.7
2015-08;1.0
2015-07;0.9
2015-06;0.7
2015-05;0.2
2015-04;0.04
2015-03;-0.4
2015-02;-0.9
2015-01;-1.0
2014-12;-1.0
2014-11;-0.7
2014-10;-1.0
2014-09;-0.9
2014-08;-0.9
2014-07;-1.0
2014-06;-0.8
2014-05;-0.9
2014-04;-0.5
2014-03;0.8
2014-02;0.4
2014-01;1.0
2013-12;0.7
2013-11;0.8
2013-10;0.9
2013-09;1.0
2013-08;0.8
2013-07;-0.2
2013-06;-0.8
2013-05;-0.5
2013-04;-1.0
2013-03;-1.0
2013-02;-1.0
2013-01;-0.9
2012-12;-0.7
2012-11;-0.8
2012-10;-1.0
2012-09;-0.8
2012-08;-0.8
2012-07;-1.0
2012-06;-1.0
2012-05;-1.0
2012-04;-0.9
2012-03;-0.6
2012-02;-1.0
2012-01;-0.8
2011-12;-0.9
2011-11;-0.9
2011-10;-1.0
2011-09;-0.9
2011-08;-0.7
2011-07;0.7
2011-06;0.9
2011-05;0.6
2011-04;1.0
2011-03;1.0
2011-02;1.0
2011-01;1.0
2010-12;1.0
2010-11;1.0
2010-10;1.0
2010-09;0.9
2010-08;1.0
2010-07;0.9
2010-06;0.8
2010-05;0.9
2010-04;0.9
2010-03;0.7
2010-02;0.7
2010-01;0.8
2009-12;0.8
2009-11;0.8
2009-10;0.9
2009-09;0.9
2009-08;0.7
2009-07;-0.1
2009-06;-0.3
2009-05;-0.3
2009-04;-0.8
2009-03;-0.9
2009-02;-1.0
2009-01;-1.0
2008-12;-1.0
2008-11;-1.0
2008-10;-1.0
2008-09;-1.0
2008-08;-0.9
2008-07;-1.0
2008-06;-0.6
2008-05;-0.05
2008-04;0.2
2008-03;0.8
2008-02;0.8
2008-01;0.8
2007-12;0.8
2007-11;0.9
2007-10;0.8
2007-09;0.9
2007-08;0.9
2007-07;1.0
2007-06;1.0
2007-05;1.0
2007-04;1.0
2007-03;0.9
2007-02;1.0
2007-01;0.9
2006-12;0.9
2006-11;0.9
2006-10;1.0
2006-09;1.0
2006-08;1.0
2006-07;1.0
2006-06;0.8
2006-05;1.0
2006-04;1.0
2006-03;0.9
2006-02;0.9
2006-01;1.0
2005-12;0.9
2005-11;1.0
2005-10;1.0
2005-09;1.0
2005-08;0.9
2005-07;0.9
2005-06;1.0
2005-05;0.8
2005-04;0.9
2005-03;0.8
2005-02;0.8
2005-01;0.8
2004-12;0.9
2004-11;0.8
2004-10;1.0
2004-09;0.8
2004-08;0.8
2004-07;0.9
2004-06;0.9
2004-05;0.8
2004-04;0.9
2004-03;1.0
2004-02;0.9
2004-01;1.0
2003-12;1.0
2003-11;1.0
2003-10;1.0
2003-09;1.0
2003-08;1.0
2003-07;0.3
2003-06;-0.8
2003-05;-0.3
2003-04;-0.7
2003-03;-1.0
2003-02;-0.4
2003-01;-0.6
2002-12;-0.5
2002-11;-0.7
2002-10;-0.9
2002-09;-0.7
2002-08;-0.4
2002-07;-0.6
2002-06;0.07
2002-05;0.9
2002-04;0.9
2002-03;1.0
2002-02;0.1
2002-01;0.2
2001-12;-0.8
2001-11;-0.8
2001-10;-1.0
2001-09;-1.0
2001-08;-1.0
2001-07;-0.9
2001-06;-0.7
2001-05;-0.9
2001-04;-0.9
2001-03;0.6
2001-02;0.9
2001-01;0.8
2000-12;0.9
2000-11;0.9
2000-10;1.0
2000-09;1.0
2000-08;0.9
2000-07;0.9
2000-06;1.0
2000-05;1.0
2000-04;1.0
2000-03;1.0
2000-02;0.9
2000-01;1.0
1999-12;1.0
1999-11;1.0
1999-10;1.0
1999-09;1.0
1999-08;1.0
1999-07;1.0
1999-06;1.0
1999-05;1.0
1999-04;0.8
1999-03;0.6
1999-02;-0.03
1999-01;-0.7
1998-12;-0.8
1998-11;-0.6
1998-10;-0.7
1998-09;0.9
1998-08;1.0
1998-07;1.0
1998-06;1.0
1998-05;1.0
1998-04;0.9
1998-03;1.0
1998-02;1.0
1998-01;1.0
1997-12;1.0
1997-11;1.0
1997-10;1.0
1997-09;1.0
1997-08;1.0
1997-07;0.9
1997-06;1.0
1997-05;0.8
1997-04;0.8
1997-03;1.0
1997-02;1.0
1997-01;0.8
1996-12;0.3
1996-11;0.06
1996-10;-0.07
1996-09;-0.3
1996-08;-0.1
1996-07;-1.0
1996-06;-0.9
1996-05;-0.9
1996-04;-0.5
1996-03;-0.7
1996-02;-0.7
1996-01;-1.0
1995-12;-1.0
1995-11;-1.0
1995-10;-1.0
1995-09;-1.0
1995-08;-1.0
1995-07;-0.4
1995-06;-0.6
1995-05;-0.6
1995-04;-0.8
1995-03;-0.9
1995-02;-0.8
1995-01;0.9
1994-12;0.9
1994-11;1.0
1994-10;1.0
1994-09;1.0
1994-08;1.0
1994-07;1.0
1994-06;1.0
1994-05;1.0
1994-04;1.0
1994-03;1.0
1994-02;1.0
1994-01;1.0
1993-12;0.5
1993-11;0.03
1993-10;-0.6
1993-09;-0.7
1993-08;-0.9
1993-07;-1.0
1993-06;-1.0
1993-05;-1.0
1993-04;-0.7
1993-03;-0.9
1993-02;-0.9
1993-01;-1.0
1992-12;-1.0
1992-11;-1.0
1992-10;-1.0
1992-09;-1.0
1992-08;-1.0
1992-07;-1.0
1992-06;-1.0
1992-05;-1.0
1992-04;-1.0
1992-03;-1.0
1992-02;-1.0
1992-01;-1.0
1991-12;-1.0
1991-11;-1.0
1991-10;-1.0
1991-09;-0.9
1991-08;-1.0
1991-07;-0.9
1991-06;-0.8
1991-05;-0.9
1991-04;-0.7
1991-03;-0.9
1991-02;-1.0
1991-01;-1.0
1990-12;-1.0
1990-11;-1.0
1990-10;-1.0
1990-09;-1.0
1990-08;-0.9
1990-07;1.0
1990-06;1.0
1990-05;0.9
1990-04;0.7
1990-03;0.9
1990-02;0.9
1990-01;1.0
1989-12;1.0
1989-11;1.0
1989-10;1.0
1989-09;1.0
1989-08;1.0
1989-07;0.9
1989-06;0.9
1989-05;0.8
1989-04;0.9
1989-03;0.8
1989-02;0.9
1989-01;0.9
1988-12;0.9
1988-11;0.8
1988-10;1.0
1988-09;1.0
1988-08;1.0
1988-07;1.0
1988-06;0.6
1988-05;-0.3
1988-04;-0.7
1988-03;-0.7
1988-02;-0.7
1988-01;-0.7
