"idBank";"Dernière mise à jour";"Zone géographique";"Nomenclature de valorisations";"Série arrêtée";"Périodicité";"Nature";"Unité";"Produit";"Puissance";"Secteurs institutionnels";"Indicateur";"Correction";"Opérations dans la comptabilité nationale"
"011794860";"28/11/2025 08:45";"France";"Volumes aux prix de l'année précédente chaînés";"non";"Trimestrielle";"Valeur absolue";"euros";"Sans objet";"6";"Sans objet";"Équilibre du produit intérieur brut";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"PIB - Produit intérieur brut"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
