time_period;obs_value;description
2025-T3;112.8;SD
2025-T2;112.2;SD
2025-T1;112.3;SD
2024-T4;111.3;SD
2024-T3;110.1;A
2024-T2;109.7;A
2024-T1;108.9;A
2023-T4;108.1;A
2023-T3;106.5;A
2023-T2;105.7;A
2023-T1;104.9;A
2022-T4;104.5;A
2022-T3;102.5;A
2022-T2;101.3;A
2022-T1;101.5;A
2021-T4;100.0;A
2021-T3;98.9;A
2021-T2;99.6;A
2021-T1;99.7;A
2020-T4;100.1;A
2020-T3;98.5;A
2020-T2;103.2;A
2020-T1;98.8;A
2019-T4;98.1;A
2019-T3;98.0;A
2019-T2;97.4;A
2019-T1;97.5;A
2018-T4;97.5;A
2018-T3;96.4;A
2018-T2;96.1;A
2018-T1;95.4;A
2017-T4;94.6;A
2017-T3;93.8;A
2017-T2;93.6;A
2017-T1;93.4;A
2016-T4;93.1;A
2016-T3;93.0;A
2016-T2;92.8;A
2016-T1;93.3;A
2015-T4;92.4;A
2015-T3;92.0;A
2015-T2;91.7;A
2015-T1;91.3;A
2014-T4;91.5;A
2014-T3;91.3;A
2014-T2;90.9;A
2014-T1;90.6;A
2013-T4;91.3;A
2013-T3;90.7;A
2013-T2;90.1;A
2013-T1;89.3;A
2012-T4;91.0;A
2012-T3;90.3;A
2012-T2;89.8;A
2012-T1;89.1;A
2011-T4;89.0;A
2011-T3;88.2;A
2011-T2;87.7;A
2011-T1;87.4;A
2010-T4;86.0;A
2010-T3;85.4;A
2010-T2;85.0;A
2010-T1;84.4;A
2009-T4;83.9;A
2009-T3;83.2;A
2009-T2;82.6;A
2009-T1;82.0;A
2008-T4;82.4;A
2008-T3;82.1;A
2008-T2;81.4;A
2008-T1;81.8;A
2007-T4;80.6;A
2007-T3;80.2;A
2007-T2;79.8;A
2007-T1;79.8;A
2006-T4;78.5;A
2006-T3;78.3;A
2006-T2;78.0;A
2006-T1;77.5;A
2005-T4;76.7;A
2005-T3;76.2;A
2005-T2;75.4;A
2005-T1;75.1;A
2004-T4;74.6;A
2004-T3;74.1;A
2004-T2;73.4;A
2004-T1;72.8;A
2003-T4;71.9;A
2003-T3;71.5;A
2003-T2;70.9;A
2003-T1;70.4;A
2002-T4;70.2;A
2002-T3;69.6;A
2002-T2;69.1;A
2002-T1;68.5;A
2001-T4;67.6;A
2001-T3;67.2;A
2001-T2;66.8;A
2001-T1;66.6;A
2000-T4;65.9;A
2000-T3;65.1;A
2000-T2;64.8;A
2000-T1;64.0;A
1999-T4;63.4;A
1999-T3;62.7;A
1999-T2;62.1;A
1999-T1;61.3;A
1998-T4;61.2;A
1998-T3;60.9;A
1998-T2;60.4;A
1998-T1;60.3;A
