date,annee,trimestre,mois,demandeur_total_abcd_total,demandeur_homme_abcd_total,demandeur_femme_abcd_total,demandeur_total_abcd_moins25,demandeur_total_abcd_2549,demandeur_total_abcd_plus50,demandeur_homme_abcd_moins25,demandeur_homme_abcd_2549,demandeur_homme_abcd_plus50,demandeur_femme_abcd_moins25,demandeur_femme_abcd_2549,demandeur_femme_abcd_plus50,nb_offres_france_travail,population_active,taux_chomage_insee,taux_chomage_ocde,taux_euribor_3m,MRO,ipc,isj,ipc_energie_only,indicateur_climat_affaires,indicateur_climat_emploi,indicateur_retournement_conjoncturel,pib,ict,nb_defaillances_entreprise,nb_interimaires
1990-01-01,1990,1,1,,,,,,,,,,,,,,25871210.0,8.0,9.5,,,,,,115.7,,1.0,388956.0,,3998.0,
1990-02-01,1990,1,2,,,,,,,,,,,,,,,,9.5,,,,,,113.5,,0.9,,,3815.0,
1990-03-01,1990,1,3,,,,,,,,,,,,,,,,9.5,,,,,,111.5,,0.9,,,4304.0,
1990-04-01,1990,2,4,,,,,,,,,,,,,,,,9.4,,,,,,110.9,,0.7,391046.0,,3506.0,
1990-05-01,1990,2,5,,,,,,,,,,,,,,,,9.4,,,,,,110.7,,0.9,,,3744.0,
1990-06-01,1990,2,6,,,,,,,,,,,,,,,,9.4,,,,,,108.9,,1.0,,,4060.0,
1990-07-01,1990,3,7,,,,,,,,,,,,,,,,9.3,,,,,,109.9,,1.0,393587.0,,3803.0,
1990-08-01,1990,3,8,,,,,,,,,,,,,,,,9.3,,,,,,103.9,,-0.9,,,1679.0,
1990-09-01,1990,3,9,,,,,,,,,,,,,,,,9.3,,,,,,102.8,,-1.0,,,3934.0,
1990-10-01,1990,4,10,,,,,,,,,,,,,,,,9.3,,,,,,101.9,,-1.0,393398.0,,4808.0,
1990-11-01,1990,4,11,,,,,,,,,,,,,,,,9.3,,,,,,100.2,,-1.0,,,4584.0,
1990-12-01,1990,4,12,,,,,,,,,,,,,,,,9.3,,,,,,98.8,,-1.0,,,3894.0,
1991-01-01,1991,1,1,,,,,,,,,,,,,,25748991.0,8.2,9.2,,,3.3,4.0,5.8,95.4,102.9,-1.0,394433.0,,4757.0,
1991-02-01,1991,1,2,,,,,,,,,,,,,,,,9.3,,,3.4,4.0,5.7,84.9,101.1,-1.0,,,4601.0,
1991-03-01,1991,1,3,,,,,,,,,,,,,,,,9.3,,,3.3,3.9,4.2,94.2,99.4,-0.9,,,4839.0,
1991-04-01,1991,2,4,,,,,,,,,,,,,,,,9.4,,,3.1,3.9,4.0,96.0,97.6,-0.7,395890.0,,4558.0,
1991-05-01,1991,2,5,,,,,,,,,,,,,,,,9.4,,,3.3,3.9,4.7,92.5,94.6,-0.9,,,4031.0,
1991-06-01,1991,2,6,,,,,,,,,,,,,,,,9.5,,,3.5,3.9,5.6,93.9,91.6,-0.8,,,4697.0,
1991-07-01,1991,3,7,,,,,,,,,,,,,,,,9.6,,,3.8,3.9,6.0,92.3,88.5,-0.9,397495.0,,4594.0,
1991-08-01,1991,3,8,,,,,,,,,,,,,,,,9.7,,,3.2,3.9,1.9,93.2,89.0,-1.0,,,1828.0,
1991-09-01,1991,3,9,,,,,,,,,,,,,,,,9.8,,,2.6,3.9,-3.0,94.7,89.4,-0.9,,,4395.0,
1991-10-01,1991,4,10,,,,,,,,,,,,,,,,9.9,,,2.7,3.8,-5.0,93.0,89.8,-1.0,399413.0,,5492.0,
1991-11-01,1991,4,11,,,,,,,,,,,,,,,,10.0,,,3.3,3.8,-1.6,91.4,90.7,-1.0,,,4648.0,
1991-12-01,1991,4,12,,,,,,,,,,,,,,,,10.1,,,3.0,3.8,-0.7,91.5,91.3,-1.0,,,4423.0,
1992-01-01,1992,1,1,,,,,,,,,,,,,,25968918.0,9.0,10.2,,,2.6,3.4,-2.2,91.7,92.0,-1.0,402270.0,,5351.0,
1992-02-01,1992,1,2,,,,,,,,,,,,,,,,10.3,,,2.8,3.6,-1.6,95.3,91.0,-1.0,,,5208.0,
1992-03-01,1992,1,3,,,,,,,,,,,,,,,,10.3,,,2.9,3.6,0.1,95.5,90.1,-1.0,,,5309.0,
1992-04-01,1992,2,4,,,,,,,,,,,,,,,,10.4,,,2.8,3.6,0.4,89.8,89.5,-1.0,402721.0,,4897.0,
1992-05-01,1992,2,5,,,,,,,,,,,,,,,,10.5,,,2.8,3.6,0.0,92.8,89.7,-1.0,,,4440.0,
1992-06-01,1992,2,6,,,,,,,,,,,,,,,,10.6,,,2.5,3.5,-0.2,92.7,90.2,-1.0,,,5170.0,
1992-07-01,1992,3,7,,,,,,,,,,,,,,,,10.7,,,2.2,3.4,-0.8,88.6,90.8,-1.0,402258.0,,5064.0,
1992-08-01,1992,3,8,,,,,,,,,,,,,,,,10.8,,,2.0,3.5,-1.9,85.1,88.9,-1.0,,,1993.0,
