time_period;obs_value
31/10/2025;6364
30/09/2025;6897
31/08/2025;1624
31/07/2025;5958
30/06/2025;5957
31/05/2025;5475
30/04/2025;5863
31/03/2025;6382
28/02/2025;5826
31/01/2025;5948
31/12/2024;5752
30/11/2024;6099
31/10/2024;6554
30/09/2024;6314
31/08/2024;1599
31/07/2024;5843
30/06/2024;5708
31/05/2024;5433
30/04/2024;5293
31/03/2024;6057
29/02/2024;5733
31/01/2024;5894
31/12/2023;4925
30/11/2023;5906
31/10/2023;5694
30/09/2023;5409
31/08/2023;1783
31/07/2023;4416
30/06/2023;4864
31/05/2023;4550
30/04/2023;4130
31/03/2023;5450
28/02/2023;4323
31/01/2023;4824
31/12/2022;3561
30/11/2022;4380
31/10/2022;4037
30/09/2022;4463
31/08/2022;1362
31/07/2022;3414
30/06/2022;3657
31/05/2022;3203
30/04/2022;3117
31/03/2022;3852
28/02/2022;3092
31/01/2022;3103
31/12/2021;2568
30/11/2021;2918
31/10/2021;2587
30/09/2021;2728
31/08/2021;703
31/07/2021;2003
30/06/2021;2501
31/05/2021;2188
30/04/2021;1973
31/03/2021;2691
28/02/2021;2128
31/01/2021;2594
31/12/2020;2243
30/11/2020;2883
31/10/2020;2846
30/09/2020;3246
31/08/2020;793
31/07/2020;2791
30/06/2020;2957
31/05/2020;1595
30/04/2020;1267
31/03/2020;2825
29/02/2020;3805
31/01/2020;3966
31/12/2019;3923
30/11/2019;4508
31/10/2019;4859
30/09/2019;4738
31/08/2019;1288
31/07/2019;4404
30/06/2019;4303
31/05/2019;4197
30/04/2019;4360
31/03/2019;4820
28/02/2019;4559
31/01/2019;5186
31/12/2018;4240
30/11/2018;4978
31/10/2018;5496
30/09/2018;5145
31/08/2018;1946
31/07/2018;4429
30/06/2018;4811
31/05/2018;4346
30/04/2018;4237
31/03/2018;5033
28/02/2018;4602
31/01/2018;4778
31/12/2017;4162
30/11/2017;5028
31/10/2017;4969
30/09/2017;4968
31/08/2017;1663
31/07/2017;4192
30/06/2017;4771
31/05/2017;4873
30/04/2017;4106
31/03/2017;5673
28/02/2017;4909
31/01/2017;5257
31/12/2016;4037
30/11/2016;5403
31/10/2016;5167
30/09/2016;5623
31/08/2016;1624
31/07/2016;4424
30/06/2016;5442
31/05/2016;4891
30/04/2016;4870
31/03/2016;5796
29/02/2016;5465
31/01/2016;5413
31/12/2015;5001
30/11/2015;5673
31/10/2015;5348
30/09/2015;6257
31/08/2015;1710
31/07/2015;5303
30/06/2015;6296
31/05/2015;3407
30/04/2015;5504
31/03/2015;6596
28/02/2015;5847
31/01/2015;6169
31/12/2014;4224
30/11/2014;5512
31/10/2014;6203
30/09/2014;6163
31/08/2014;1962
31/07/2014;5579
30/06/2014;5418
31/05/2014;4746
30/04/2014;5460
31/03/2014;5473
28/02/2014;5956
31/01/2014;5868
31/12/2013;5090
30/11/2013;5472
31/10/2013;6322
30/09/2013;5987
31/08/2013;1955
31/07/2013;5574
30/06/2013;5313
31/05/2013;4994
30/04/2013;5343
31/03/2013;5478
28/02/2013;5368
31/01/2013;5769
31/12/2012;5053
30/11/2012;5569
31/10/2012;6362
30/09/2012;5495
31/08/2012;2016
31/07/2012;5123
30/06/2012;5098
31/05/2012;4839
30/04/2012;4666
31/03/2012;5595
29/02/2012;5483
31/01/2012;5912
31/12/2011;4372
30/11/2011;5492
31/10/2011;5382
30/09/2011;5776
31/08/2011;2119
31/07/2011;4302
30/06/2011;5048
31/05/2011;5667
30/04/2011;4508
31/03/2011;6040
28/02/2011;5460
31/01/2011;5429
31/12/2010;4471
30/11/2010;5299
31/10/2010;5303
30/09/2010;5994
31/08/2010;2075
31/07/2010;4665
30/06/2010;5670
31/05/2010;4863
30/04/2010;4743
31/03/2010;6434
28/02/2010;5478
31/01/2010;5398
31/12/2009;4999
30/11/2009;5564
31/10/2009;5742
30/09/2009;6621
31/08/2009;2025
31/07/2009;5110
30/06/2009;5650
31/05/2009;4913
30/04/2009;5385
31/03/2009;6406
28/02/2009;5519
31/01/2009;5349
31/12/2008;5196
30/11/2008;5347
31/10/2008;5923
30/09/2008;5840
31/08/2008;1564
31/07/2008;4418
30/06/2008;4789
31/05/2008;4030
30/04/2008;4603
31/03/2008;4672
29/02/2008;4716
31/01/2008;4544
31/12/2007;4065
30/11/2007;4710
31/10/2007;5255
30/09/2007;5066
31/08/2007;1420
31/07/2007;4147
30/06/2007;4787
31/05/2007;4148
30/04/2007;3878
31/03/2007;4884
28/02/2007;4466
31/01/2007;4524
31/12/2006;4064
30/11/2006;4800
31/10/2006;4819
30/09/2006;5018
31/08/2006;1462
31/07/2006;3597
30/06/2006;4385
31/05/2006;3891
30/04/2006;3506
31/03/2006;4474
28/02/2006;3808
31/01/2006;4095
31/12/2005;3739
30/11/2005;4512
31/10/2005;4595
30/09/2005;5053
31/08/2005;1364
31/07/2005;3574
30/06/2005;4611
31/05/2005;4241
30/04/2005;4103
31/03/2005;4702
28/02/2005;4336
31/01/2005;4521
31/12/2004;3875
30/11/2004;4526
31/10/2004;4764
30/09/2004;4902
31/08/2004;1428
31/07/2004;3684
30/06/2004;4430
31/05/2004;3839
30/04/2004;3749
31/03/2004;4697
29/02/2004;4051
31/01/2004;4412
31/12/2003;3986
30/11/2003;4092
31/10/2003;4884
30/09/2003;4859
31/08/2003;1207
31/07/2003;3940
30/06/2003;3983
31/05/2003;3596
30/04/2003;3856
31/03/2003;4248
28/02/2003;4315
31/01/2003;4250
31/12/2002;3732
30/11/2002;4145
31/10/2002;4666
30/09/2002;4517
31/08/2002;1310
31/07/2002;3761
30/06/2002;4007
31/05/2002;3849
30/04/2002;3771
31/03/2002;4616
28/02/2002;2385
31/01/2002;4207
31/12/2001;3660
30/11/2001;4210
31/10/2001;4749
30/09/2001;4191
31/08/2001;1509
31/07/2001;3616
30/06/2001;4081
31/05/2001;3959
30/04/2001;4247
31/03/2001;1913
28/02/2001;3201
31/01/2001;3946
31/12/2000;3414
30/11/2000;4085
31/10/2000;4491
30/09/2000;4259
31/08/2000;1409
31/07/2000;3357
30/06/2000;3733
