time_period;obs_value;description
2025-12;-6.8;P
2025-11;-4.6;A
2025-10;-5.6;A
2025-09;-4.4;A
2025-08;-6.2;A
2025-07;-7.2;A
2025-06;-6.7;A
2025-05;-8.0;A
2025-04;-7.8;A
2025-03;-6.6;A
2025-02;-5.8;A
2025-01;2.7;A
2024-12;1.2;A
2024-11;-0.7;A
2024-10;-2.0;A
2024-09;-3.3;A
2024-08;0.4;A
2024-07;8.5;A
2024-06;4.8;A
2024-05;5.7;A
2024-04;3.8;A
2024-03;3.4;A
2024-02;4.3;A
2024-01;1.9;A
2023-12;5.7;A
2023-11;3.1;A
2023-10;5.2;A
2023-09;11.9;A
2023-08;6.8;A
2023-07;-3.7;A
2023-06;-3.0;A
2023-05;2.0;A
2023-04;6.8;A
2023-03;4.9;A
2023-02;14.1;A
2023-01;16.3;A
2022-12;15.1;A
2022-11;18.4;A
2022-10;19.1;A
2022-09;17.9;A
2022-08;22.7;A
2022-07;28.5;A
2022-06;33.1;A
2022-05;27.8;A
2022-04;26.5;A
2022-03;29.2;A
2022-02;21.1;A
2022-01;19.9;A
2021-12;18.5;A
2021-11;21.6;A
2021-10;20.2;A
2021-09;14.9;A
2021-08;12.7;A
2021-07;12.3;A
2021-06;10.9;A
2021-05;11.7;A
2021-04;8.8;A
2021-03;4.7;A
2021-02;-1.6;A
2021-01;-5.8;A
2020-12;-7.0;A
2020-11;-7.8;A
2020-10;-7.8;A
2020-09;-8.0;A
2020-08;-7.1;A
2020-07;-7.4;A
2020-06;-9.3;A
2020-05;-11.0;A
2020-04;-8.6;A
2020-03;-4.0;A
2020-02;1.1;A
2020-01;4.5;A
2019-12;2.6;A
2019-11;-0.6;A
2019-10;-1.6;A
2019-09;0.2;A
2019-08;0.8;A
2019-07;0.8;A
2019-06;2.4;A
2019-05;3.4;A
2019-04;4.8;A
2019-03;5.1;A
2019-02;3.2;A
2019-01;1.9;A
2018-12;8.0;A
2018-11;11.2;A
2018-10;13.8;A
2018-09;12.8;A
2018-08;13.0;A
2018-07;14.3;A
2018-06;12.3;A
2018-05;10.0;A
2018-04;6.3;A
2018-03;5.0;A
2018-02;5.2;A
2018-01;5.2;A
2017-12;5.0;A
2017-11;5.4;A
2017-10;4.8;A
2017-09;5.1;A
2017-08;4.8;A
2017-07;1.9;A
2017-06;1.9;A
2017-05;5.3;A
2017-04;9.3;A
2017-03;9.9;A
2017-02;11.4;A
2017-01;10.3;A
2016-12;4.3;A
2016-11;2.1;A
2016-10;0.7;A
2016-09;-1.1;A
2016-08;-3.0;A
2016-07;-3.3;A
2016-06;-3.1;A
2016-05;-5.7;A
2016-04;-6.8;A
2016-03;-6.9;A
2016-02;-6.8;A
2016-01;-3.8;A
2015-12;-4.7;A
2015-11;-6.0;A
2015-10;-6.1;A
2015-09;-5.9;A
2015-08;-5.1;A
2015-07;-4.1;A
2015-06;-2.8;A
2015-05;-2.4;A
2015-04;-3.4;A
2015-03;-3.7;A
2015-02;-5.3;A
2015-01;-7.1;A
2014-12;-4.4;A
2014-11;-1.1;A
2014-10;-1.2;A
