Date,Code région,Région,Code département,Département,Type de données,Type d'offre d'emploi,Type d'emploi,Qualification,Nombre d'offres d'emploi
1996-01,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,175700
1996-02,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,172600
1996-03,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,201600
1996-04,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,204100
1996-05,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,201200
1996-06,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,226100
1996-07,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,217700
1996-08,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,180600
1996-09,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,225300
1996-10,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,206000
1996-11,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,161600
1996-12,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,152200
1997-01,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,189500
1997-02,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,180100
1997-03,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,215700
1997-04,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,234300
1997-05,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,220500
1997-06,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,252600
1997-07,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,236700
1997-08,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,196500
1997-09,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,259100
1997-10,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,229500
1997-11,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,181800
1997-12,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,176500
1998-01,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,219000
1998-02,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,215800
1998-03,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,251800
1998-04,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,244300
1998-05,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,241500
1998-06,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,281800
1998-07,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,243000
1998-08,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,213800
1998-09,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,273900
1998-10,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,225700
1998-11,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,190800
1998-12,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,172700
1999-01,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,234100
1999-02,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,214700
1999-03,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,273100
1999-04,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,249200
1999-05,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,257000
1999-06,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,316300
1999-07,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,260900
1999-08,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,245400
1999-09,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,303800
1999-10,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,252100
1999-11,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,222800
1999-12,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,191500
2000-01,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,265900
2000-02,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,258400
2000-03,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,307600
2000-04,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,257300
2000-05,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,318000
2000-06,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,300000
2000-07,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,261400
2000-08,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,260400
2000-09,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,300900
2000-10,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,271700
2000-11,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,233700
2000-12,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,186200
2001-01,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,268500
2001-02,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,247100
2001-03,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,289400
2001-04,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,249900
2001-05,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,285000
2001-06,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,287300
2001-07,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,272500
2001-08,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,242400
2001-09,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,269900
2001-10,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,271900
2001-11,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,225000
2001-12,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,185300
2002-01,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,242600
2002-02,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,234600
2002-03,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,283500
2002-04,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,280600
2002-05,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,266200
2002-06,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,280800
2002-07,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,284400
2002-08,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,220200
2002-09,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,282200
2002-10,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,255800
2002-11,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,200400
2002-12,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,186500
2003-01,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,237900
2003-02,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,230900
2003-03,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,275500
2003-04,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,256200
2003-05,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,242400
2003-06,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,292300
2003-07,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,286200
2003-08,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,216000
2003-09,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,280000
2003-10,Total France,France,Total,Total,Brutes,Offres d'emploi collectées,Total,Total,256900
