time_period;obs_value;description
2025-T3;661062;A
2025-T2;657523;A
2025-T1;655389;A
2024-T4;654734;A
2024-T3;655027;A
2024-T2;652635;A
2024-T1;651384;A
2023-T4;650556;A
2023-T3;647666;A
2023-T2;646306;A
2023-T1;640657;A
2022-T4;640155;A
2022-T3;637684;A
2022-T2;634404;A
2022-T1;631683;A
2021-T4;632279;A
2021-T3;628747;A
2021-T2;610464;A
2021-T1;603178;A
2020-T4;600809;A
2020-T3;601294;A
2020-T2;521293;A
2020-T1;593861;A
2019-T4;625561;A
2019-T3;628575;A
2019-T2;628634;A
2019-T1;625191;A
2018-T4;619460;A
2018-T3;614844;A
2018-T2;611896;A
2018-T1;610309;A
2017-T4;610537;A
2017-T3;606902;A
2017-T2;602617;A
2017-T1;598021;A
2016-T4;594024;A
2016-T3;590306;A
2016-T2;589521;A
2016-T1;590524;A
2015-T4;588710;A
2015-T3;587305;A
2015-T2;585816;A
2015-T1;585358;A
2014-T4;581960;A
2014-T3;583622;A
2014-T2;579926;A
2014-T1;578451;A
2013-T4;578421;A
2013-T3;574955;A
2013-T2;576318;A
2013-T1;571272;A
2012-T4;570171;A
2012-T3;570293;A
2012-T2;568576;A
2012-T1;570781;A
2011-T4;571078;A
2011-T3;569065;A
2011-T2;567289;A
2011-T1;567207;A
2010-T4;559828;A
2010-T3;556495;A
2010-T2;552875;A
2010-T1;550311;A
2009-T4;548448;A
2009-T3;544560;A
2009-T2;543686;A
2009-T1;542746;A
2008-T4;553076;A
2008-T3;560192;A
2008-T2;561543;A
2008-T1;565808;A
2007-T4;560913;A
2007-T3;560327;A
2007-T2;558560;A
2007-T1;554951;A
2006-T4;549201;A
2006-T3;546199;A
2006-T2;545817;A
2006-T1;539370;A
2005-T4;534661;A
2005-T3;530976;A
2005-T2;526974;A
2005-T1;525885;A
2004-T4;524260;A
2004-T3;519644;A
2004-T2;517795;A
2004-T1;515573;A
2003-T4;510007;A
2003-T3;508251;A
2003-T2;502793;A
2003-T1;505079;A
2002-T4;503516;A
2002-T3;503079;A
2002-T2;500985;A
2002-T1;498679;A
2001-T4;495811;A
2001-T3;497990;A
2001-T2;495137;A
2001-T1;495040;A
2000-T4;492460;A
2000-T3;489490;A
2000-T2;485729;A
2000-T1;480413;A
1999-T4;475778;A
1999-T3;469134;A
1999-T2;462324;A
1999-T1;459345;A
1998-T4;456206;A
1998-T3;453100;A
1998-T2;450769;A
1998-T1;447564;A
1997-T4;443314;A
1997-T3;438976;A
1997-T2;434654;A
1997-T1;430140;A
1996-T4;428311;A
1996-T3;426670;A
1996-T2;425029;A
1996-T1;424211;A
1995-T4;421283;A
1995-T3;421449;A
1995-T2;420792;A
1995-T1;418051;A
1994-T4;416085;A
1994-T3;412199;A
1994-T2;408509;A
1994-T1;404451;A
1993-T4;401724;A
1993-T3;400670;A
1993-T2;400180;A
1993-T1;400161;A
1992-T4;402334;A
1992-T3;402258;A
1992-T2;402721;A
1992-T1;402270;A
1991-T4;399413;A
1991-T3;397495;A
1991-T2;395890;A
1991-T1;394433;A
1990-T4;393398;A
1990-T3;393587;A
1990-T2;391046;A
1990-T1;388956;A
1989-T4;388135;A
1989-T3;382998;A
1989-T2;378731;A
1989-T1;374552;A
1988-T4;369743;A
1988-T3;366718;A
1988-T2;362135;A
1988-T1;358993;A
1987-T4;354442;A
1987-T3;349290;A
1987-T2;346957;A
1987-T1;341867;A
1986-T4;341586;A
1986-T3;341160;A
1986-T2;339318;A
1986-T1;335636;A
1985-T4;334602;A
1985-T3;332921;A
1985-T2;331027;A
1985-T1;328296;A
1984-T4;327475;A
1984-T3;327777;A
1984-T2;325672;A
1984-T1;324129;A
1983-T4;322692;A
1983-T3;320696;A
1983-T2;320182;A
1983-T1;320007;A
1982-T4;318782;A
1982-T3;316885;A
1982-T2;317069;A
1982-T1;314838;A
1981-T4;312474;A
1981-T3;310602;A
1981-T2;308530;A
1981-T1;306214;A
1980-T4;305080;A
1980-T3;305557;A
1980-T2;305096;A
1980-T1;307574;A
